tier,domain,name,posts,in_measured,in_dealgong,robots_status,crawl_allowed,note
T4,shoepalace.com,Shoepalace,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,sierra.com,Sierra,1,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,sneakersnstuff.com,Sneakersnstuff,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,ssg.com,Ssg,1,1,0,200,NO,disallow all
T4,thehipstore.co.uk,Thehipstore,1,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,thehut.com,Thehut,1,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,thejacketmaker.com,Thejacketmaker,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,theknitcompany.com,Theknitcompany,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,timberland.com,Timberland,1,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,ugg.com,Ugg,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,us.sennheiser-hearing.com,Us,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,voostore.com,Voostore,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,wolverine.com,Wolverine,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,zara.com,Zara,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,ziosongzio.shop,Ziosongzio,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,18montrose.com,18montrose,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,24s.com,24S,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,acnestudios.com,Acne Studios,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,ae.com,American Eagle,0,0,1,200(browser),YES,"allowed:/sale,/clearance"
T4,aloyoga.com,aloyoga,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,anthropologie.com,Anthropologie,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,arcteryx.com,Arc'teryx,0,0,1,200(http),YES,"allowed:/sale,/clearance"
T4,asics.com,Asics,0,0,1,200(browser),YES,"allowed:/sale,/clearance"
T4,backcountry.com,Backcountry,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,balenciaga.com,BALENCIAGA,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,bananarepublic.gap.com,Banana Republic,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,bedbathandbeyond.com,Bed Bath & Beyond,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,bergdorfgoodman.com,Bergdorf Goodman,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,bottegaveneta.com,Bottega Veneta,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,burberry.com,Burberry,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,calvinklein.com,Calvin Klein,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,celine.com,Celine,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,champion.com,Champion,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,coachoutlet.com,Coach Outlet,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,cos.com,COS,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,cultbeauty.com,CultBeauty,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,currentbody.com,Currentbody,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,diesel.com,Diesel,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,dior.com,Dior,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,ecco.com,ECCO,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,esteelauder.com,Estee Lauder,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,everlane.com,Everlane,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,footlocker.com,Foot Locker,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,gap.com,Gap,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,gucci.com,GUCCI,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,harrods.com,Harrods,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,hbx.com,HBX,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,hm.com,H&M,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,hugoboss.com,Hugo Boss,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,italist.com,Italist,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,jcrew.com,J.Crew,0,0,1,200(browser),YES,"allowed:/sale,/clearance"
T4,jdsports.com,JD Sports,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,jimmychoo.com,Jimmy Choo,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,katespade.com,Kate Spade New York,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,kiehls.com,Kiehl's,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,kith.com,Kith,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,lancome-usa.com,Lancome,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,loewe.com,LOEWE,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,lookfantastic.com,LookFantastic,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,luisaviaroma.com,Luisaviaroma,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,madewell.com,Madewell,0,0,1,200(browser),YES,"allowed:/sale,/clearance"
T4,marcjacobs.com,Marc Jacobs,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,matchesfashion.com,Matchesfashion,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,michaelkors.com,Michael Kors,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,modaoperandi.com,Moda Operandi,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,mrporter.com,Mr Porter,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,mulberry.com,Mulberry,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,mytheresa.com,Mytheresa,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,net-a-porter.com,Net-a-Porter,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,oldnavy.gap.com,Old Navy,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,pandora.net,Pandora,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,ralphlauren.com,Ralph Lauren,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,reebok.com,Reebok,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,ruelala.com,Rue La La,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,saksoff5th.com,Saksoff5th,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,sephora.com,Sephora,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,stories.com,& Other Stories,0,0,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,stussy.com,Stussy,0,0,1,200,YES,"allowed:/sale,/clearance"
T4,swarovski.com,Swarovski,0,0,1,200,YES,"allowed:/sale,/clearance"
T3,yoox.com,Yoox,7,1,0,200,YES,신규(2026-07 실측 7건) 명품 아울렛
T4,victoriassecret.com,Victorias Secret,1,1,0,200,YES,신규(2026-07 실측)
